Date,Day,Open,High,Low,Close,Adj Open,Adj High,Adj Close
5/11/05,Wed,0.00,0.00,0.00,0.00,5.64,5.60,5.60
5/12/05,Thurs,0.00,0.00,0.00,0.00,5.60,5.29,5.29
5/13/05,Fri,0.00,0.00,0.00,0.00,5.29,5.17,5.17
5/16/05,Mon,0.00,0.00,0.00,0.00,5.17,5.25,5.25
5/17/05,Tues,0.00,0.00,0.00,0.00,5.25,5.45,5.45
5/18/05,Wed,0.00,0.00,0.00,0.00,5.45,5.69,5.69
5/19/05,Thurs,0.00,0.00,0.00,0.00,5.69,5.79,5.79
5/20/05,Fri,0.00,0.00,0.00,0.00,5.79,5.87,5.87
5/23/05,Mon,0.00,0.00,0.00,0.00,5.87,5.99,5.99
5/24/05,Tues,0.00,0.00,0.00,0.00,5.99,6.02,6.02
5/25/05,Wed,0.00,0.00,0.00,0.00,6.02,5.97,5.97
5/26/05,Thurs,0.00,0.00,0.00,0.00,5.97,6.16,6.16
5/27/05,Fri,0.00,0.00,0.00,0.00,6.16,6.13,6.13
5/31/05,Tues,0.00,0.00,0.00,0.00,6.13,6.08,6.08
6/1/05,Wed,0.00,0.00,0.00,0.00,6.08,6.19,6.19
6/2/05,Thurs,0.00,0.00,0.00,0.00,6.19,6.23,6.23
6/3/05,Fri,0.00,0.00,0.00,0.00,6.23,6.23,6.23
6/6/05,Mon,0.00,0.00,0.00,0.00,6.23,6.35,6.35
6/7/05,Tues,0.00,0.00,0.00,0.00,6.35,6.45,6.45
6/8/05,Wed,0.00,0.00,0.00,0.00,6.45,6.41,6.41
6/9/05,Thurs,0.00,0.00,0.00,0.00,6.41,6.46,6.46
6/10/05,Fri,0.00,0.00,0.00,0.00,6.46,6.45,6.45
6/13/05,Mon,0.00,0.00,0.00,0.00,6.45,6.65,6.65
6/14/05,Tues,0.00,0.00,0.00,0.00,6.65,6.73,6.73
6/15/05,Wed,0.00,0.00,0.00,0.00,6.73,6.84,6.84
6/16/05,Thurs,0.00,0.00,0.00,0.00,6.84,6.94,6.94
6/17/05,Fri,0.00,0.00,0.00,0.00,6.94,6.82,6.82
6/20/05,Mon,0.00,0.00,0.00,0.00,6.82,6.82,6.82
6/21/05,Tues,0.00,0.00,0.00,0.00,6.82,6.94,6.94
6/22/05,Wed,0.00,0.00,0.00,0.00,6.94,6.95,6.95
6/23/05,Thurs,0.00,0.00,0.00,0.00,6.95,6.69,6.69
6/24/05,Fri,0.00,0.00,0.00,0.00,6.69,6.59,6.59
6/27/05,Mon,0.00,0.00,0.00,0.00,6.59,6.58,6.58
6/28/05,Tues,0.00,0.00,0.00,0.00,6.58,6.80,6.80
6/29/05,Wed,0.00,0.00,0.00,0.00,6.80,6.71,6.71
6/30/05,Thurs,0.00,0.00,0.00,0.00,6.71,6.66,6.66
7/1/05,Fri,0.00,0.00,0.00,0.00,6.66,6.75,6.75
7/5/05,Tues,0.00,0.00,0.00,0.00,6.75,6.80,6.80
7/6/05,Wed,0.00,0.00,0.00,0.00,6.80,6.68,6.68
7/7/05,Thurs,0.00,0.00,0.00,0.00,6.68,6.62,6.62
7/8/05,Fri,0.00,0.00,0.00,0.00,6.62,6.86,6.86
7/11/05,Mon,0.00,0.00,0.00,0.00,6.86,6.94,6.94
7/12/05,Tues,0.00,0.00,0.00,0.00,6.94,7.03,7.03
7/13/05,Wed,0.00,0.00,0.00,0.00,7.03,7.13,7.13
7/14/05,Thurs,0.00,0.00,0.00,0.00,7.13,7.22,7.22
7/15/05,Fri,0.00,0.00,0.00,0.00,7.22,7.30,7.30
7/18/05,Mon,0.00,0.00,0.00,0.00,7.30,7.31,7.31
7/19/05,Tues,0.00,0.00,0.00,0.00,7.31,7.43,7.43
7/20/05,Wed,0.00,0.00,0.00,0.00,7.43,7.49,7.49
7/21/05,Thurs,0.00,0.00,0.00,0.00,7.49,7.54,7.54
7/22/05,Fri,0.00,0.00,0.00,0.00,7.54,7.65,7.65
7/25/05,Mon,0.00,0.00,0.00,0.00,7.65,7.61,7.61
7/26/05,Tues,0.00,0.00,0.00,0.00,7.61,7.56,7.56
7/27/05,Wed,0.00,0.00,0.00,0.00,7.56,7.63,7.63
7/28/05,Thurs,0.00,0.00,0.00,0.00,7.63,7.74,7.74
7/29/05,Fri,0.00,0.00,0.00,0.00,7.74,7.63,7.63
8/1/05,Mon,0.00,0.00,0.00,0.00,7.63,7.54,7.54
8/2/05,Tues,0.00,0.00,0.00,0.00,7.54,7.58,7.58
8/3/05,Wed,0.00,0.00,0.00,0.00,7.58,7.57,7.57
8/4/05,Thurs,0.00,0.00,0.00,0.00,7.57,7.44,7.44
8/5/05,Fri,0.00,0.00,0.00,0.00,7.44,7.39,7.39
8/8/05,Mon,0.00,0.00,0.00,0.00,7.39,7.33,7.33
8/9/05,Tues,0.00,0.00,0.00,0.00,7.33,7.56,7.56
8/10/05,Wed,0.00,0.00,0.00,0.00,7.56,7.63,7.63
8/11/05,Thurs,0.00,0.00,0.00,0.00,7.63,7.70,7.70
8/12/05,Fri,0.00,0.00,0.00,0.00,7.70,7.57,7.57
8/15/05,Mon,0.00,0.00,0.00,0.00,7.57,7.66,7.66
8/16/05,Tues,0.00,0.00,0.00,0.00,7.66,7.36,7.36
8/17/05,Wed,0.00,0.00,0.00,0.00,7.36,7.00,7.00
8/18/05,Thurs,0.00,0.00,0.00,0.00,7.00,7.05,7.05
8/19/05,Fri,0.00,0.00,0.00,0.00,7.05,7.11,7.11
8/22/05,Mon,0.00,0.00,0.00,0.00,7.11,7.12,7.12
8/23/05,Tues,0.00,0.00,0.00,0.00,7.12,7.11,7.11
8/24/05,Wed,0.00,0.00,0.00,0.00,7.11,7.10,7.10
8/25/05,Thurs,0.00,0.00,0.00,0.00,7.10,7.09,7.09
8/26/05,Fri,0.00,0.00,0.00,0.00,7.09,7.05,7.05
8/29/05,Mon,0.00,0.00,0.00,0.00,7.05,7.11,7.11
8/30/05,Tues,0.00,0.00,0.00,0.00,7.11,7.06,7.06
8/31/05,Wed,0.00,0.00,0.00,0.00,7.06,7.14,7.14
9/1/05,Thurs,0.00,0.00,0.00,0.00,7.14,7.12,7.12
